"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2254","TC03 - Verify all fields visible","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","498","TC06 - Verify navigation from Sign In to Welcome Back page","chromium","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1950","Verify Business selection shows correct image","chromium","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","468","Verify login button is visible","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1913","TC07 - Clear cart and validate empty","firefox","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1440","Valid Password","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","2146","checking for the functionality of first View all link","firefox","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","657","get started link","chromium","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","7021","TC03 - Verify all fields visible","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","2243","Verify navbar elements","webkit","2026-03-30","passed","2026-03-30","Student Portal Tests","studentportal.spec.js","",""
"","822","Verify page is visible","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","2739","Create session and save login state","webkit","2026-03-30","passed","2026-03-30","","session.spec.js","",""
"","2496","TC11 - Cart link visible","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","374","has title","chromium","2026-03-30","passed","2026-03-30","","example.spec.js","",""
"","813","Verify multiple DOM elements exist","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1356","Verify login for user amith@gmail.com","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","3051","API booking creation with invalid data shows error","webkit","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","2229","Back to Sign In navigation","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","7324","TC02 - Verify Secure Checkout heading","webkit","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1024","API payment processing with invalid card details shows error","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","4911","TC01 - Navigate to Courses page","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","3672","Verify clicking Courses in navbar navigates to Courses page","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1224","Verify error messages on empty login submission","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1744","TC18 - Validate card number length error","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","2139","TC16 - Payment page UI text","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","1034","Verify login for user abhinav@gmail.com","firefox","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","2736","TC08 - Remove course from cart","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1226","Verify user stays logged in","chromium","2026-03-30","passed","2026-03-30","","dashboard.spec.js","",""
"","1404","Verify Submit Button Visible","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1093","API payment processing with invalid booking ID shows error","chromium","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1426","Missing Special Character","chromium","2026-03-30","passed","2026-03-30","","registration.spec.js","",""
"","1878","Verify login for user abhinav@gmail.com","webkit","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","3311","API payment processing after booking","firefox","2026-03-30","passed","2026-03-30","","payment-api.spec.js","",""
"","1508","TC05 - Verify Explore Courses link navigation","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1744","TC19 - Validate required fields error","chromium","2026-03-30","passed","2026-03-30","Student Payment / Cart Tests","payment.spec.js","",""
"","3008","TC12 - Proceed button visible (safe)","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","499","TC04 - Verify About this course and What you’ll learn sections","chromium","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","2588","TC05 - Add course to cart","firefox","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1916","TC04 - Add to Cart button visible","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","1326","Verify login for user anjay@gmail.com","chromium","2026-03-30","passed","2026-03-30","Login Page Tests","login.spec.js","",""
"","1348","Create session and save login state","firefox","2026-03-30","passed","2026-03-30","","session.spec.js","",""
"","2592","Verify search box placeholder in Courses page","webkit","2026-03-30","passed","2026-03-30","Courses Page Tests","course.spec.js","",""
"","1976","TC15 - Page loads successfully","webkit","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
"","5286","TC07 - Verify user can login and add course to cart","webkit","2026-03-30","passed","2026-03-30","Course Details Page Tests","coursedetails.spec.js","",""
"","1808","TC03 - Open course details page","chromium","2026-03-30","passed","2026-03-30","Cart Tests","cart.spec.js","",""
